Wall time,Step,Value
1706876784.2667983,4096,488.7413635253906
1706876789.6787992,6144,453.893798828125
1706876802.4587557,10240,475.64007568359375
1706876809.3377562,12288,536.2474365234375
1706876816.6058075,14336,601.257568359375
1706876823.560842,16384,553.8665161132812
1706876829.943842,18432,446.76348876953125
1706876836.482843,20480,413.9576721191406
1706876843.0638702,22528,485.276123046875
1706876849.8298416,24576,551.1533813476562
1706876856.205843,26624,570.818115234375
1706876867.8738418,30720,434.1917419433594
1706876873.5828419,32768,611.0398559570312
1706876879.2418427,34816,554.7229614257812
1706876885.4218423,36864,585.3667602539062
1706876891.3368428,38912,499.8297119140625
1706876897.0048416,40960,707.0946044921875
1706876902.8748426,43008,601.1652221679688
1706876908.4148412,45056,617.6799926757812
1706876914.2008412,47104,682.4497680664062
1706876919.9128413,49152,535.2688598632812
1706876925.6828432,51200,693.859619140625
1706876931.4868414,53248,561.5911254882812
1706876942.0468426,57344,566.8689575195312
1706876947.1928413,59392,518.4669189453125
1706876952.8028405,61440,556.474609375
1706876958.3178406,63488,572.5068359375
1706876969.2963607,67584,491.4738464355469
1706876974.4643595,69632,494.126953125
1706876979.8043594,71680,483.487060546875
1706876985.311732,73728,518.0468139648438
1706876990.9827302,75776,491.44659423828125
1706876997.148325,77824,609.0759887695312
1706877002.9643207,79872,452.3470458984375
1706877013.8273213,83968,565.6776123046875
1706877019.4943216,86016,420.542236328125
1706877024.7613223,88064,447.7582702636719
1706877030.275843,90112,430.64788818359375
1706877036.090843,92160,340.5633239746094
1706877047.8073528,96256,479.2080383300781
1706877053.7496333,98304,375.3849182128906
1706877060.091632,100352,301.4755859375
1706877066.2446325,102400,272.9256591796875
1706877072.700632,104448,339.0072021484375
1706877078.2176301,106496,319.63494873046875
1706877091.350728,110592,332.840576171875
1706877098.0117528,112640,341.9982604980469
1706877104.7078166,114688,193.0299072265625
1706877111.5318015,116736,348.49810791015625
1706877118.2218015,118784,248.806884765625
1706877124.9503202,120832,238.56704711914062
1706877131.600723,122880,218.59873962402344
1706877138.1737235,124928,226.26425170898438
1706877145.0267231,126976,350.1131591796875
1706877152.304722,129024,202.83193969726562
1706877158.3258228,131072,386.8165283203125
1706877164.8198223,133120,203.0247039794922
1706877176.382822,137216,242.08155822753906
1706877182.1038213,139264,174.32630920410156
1706877187.8498218,141312,119.4134292602539
1706877193.5638213,143360,191.58059692382812
1706877199.3878236,145408,223.62335205078125
1706877205.116822,147456,254.5731201171875
1706877212.315348,149504,164.3918914794922
1706877219.2619169,151552,148.39857482910156
1706877225.7459192,153600,277.0770263671875
1706877231.2309165,155648,167.44248962402344
1706877242.1069162,159744,257.82562255859375
1706877252.7029164,163840,147.07766723632812
1706877258.0979154,165888,162.31939697265625
1706877263.803916,167936,149.62966918945312
1706877269.468916,169984,153.91798400878906
1706877274.6199157,172032,321.2698974609375
1706877280.490916,174080,175.9141845703125
1706877285.9129152,176128,126.7416763305664
1706877291.350916,178176,224.79454040527344
1706877296.725917,180224,200.71180725097656
1706877302.3339186,182272,311.1405334472656
1706877307.7119184,184320,125.68660736083984
1706877324.7209172,190464,175.52452087402344
1706877331.1929178,192512,146.46861267089844
1706877337.8939164,194560,180.08248901367188
1706877345.7379196,196608,178.22293090820312
1706877352.7249262,198656,203.10877990722656
1706877359.750916,200704,158.08189392089844
1706877366.4279156,202752,135.39108276367188
1706877372.489916,204800,233.3452911376953
1706877378.7909167,206848,149.0457763671875
1706877384.9249153,208896,128.2610321044922
1706877390.935916,210944,118.40946197509766
1706877397.3659174,212992,139.746826171875
1706877410.0219169,217088,75.22607421875
1706877416.3339157,219136,139.77706909179688
1706877422.7649155,221184,136.04205322265625
1706877428.862917,223232,127.28406524658203
1706877435.1059155,225280,174.70108032226562
1706877441.0099154,227328,142.8479461669922
1706877447.425736,229376,153.22850036621094
1706877453.5332553,231424,220.64202880859375
1706877459.0712566,233472,124.11648559570312
1706877464.608257,235520,106.01181030273438
1706877470.1402571,237568,130.05438232421875
1706877476.0092552,239616,104.2467041015625
1706877487.5202572,243712,118.30681610107422
1706877493.110258,245760,192.04962158203125
1706877498.7232563,247808,93.2275390625
1706877504.2992566,249856,123.07215881347656
1706877509.9462564,251904,93.46661376953125
1706877515.5452561,253952,122.12964630126953
1706877521.1632562,256000,183.907958984375
1706877526.6932564,258048,129.18609619140625
1706877532.2552557,260096,160.65782165527344
1706877537.7252576,262144,122.12464904785156
1706877543.934262,264192,124.50801086425781
1706877550.6767883,266240,111.44178009033203
1706877563.451772,270336,88.84881591796875
1706877569.6567707,272384,116.46990203857422
1706877575.9577708,274432,133.38546752929688
1706877582.645289,276480,115.82372283935547
1706877588.9992898,278528,156.0362091064453
1706877597.4770436,280576,154.58412170410156
1706877605.884041,282624,51.897857666015625
1706877612.690042,284672,66.33671569824219
1706877624.6730418,288768,91.31683349609375
1706877631.936043,290816,139.72447204589844
1706877639.059044,292864,122.02925109863281
1706877658.36304,299008,123.93305969238281
1706877665.217042,301056,134.57583618164062
1706877671.724045,303104,90.4608383178711
1706877678.5240428,305152,91.19375610351562
1706877685.3140416,307200,135.63162231445312
1706877691.6760461,309248,85.9257583618164
1706877698.0290327,311296,126.38288879394531
1706877704.7080338,313344,111.21197509765625
1706877710.8120317,315392,111.64783477783203
1706877717.3490756,317440,92.28816223144531
1706877723.881078,319488,103.50984191894531
1706877736.7760756,323584,155.99343872070312
1706877743.6776543,325632,120.62942504882812
1706877750.0581698,327680,147.03805541992188
1706877763.1242685,331776,194.44818115234375
1706877769.4128177,333824,158.8368682861328
1706877776.2920473,335872,107.60710906982422
1706877782.379046,337920,160.37991333007812
1706877795.4118824,342016,92.74746704101562
1706877801.5868824,344064,212.4065399169922
1706877808.9688818,346112,124.81005096435547
1706877821.6568818,350208,116.3089599609375
1706877828.3230388,352256,92.5774154663086
1706877834.7140417,354304,105.09583282470703
1706877840.9240396,356352,186.56906127929688
1706877847.7260394,358400,122.58322143554688
1706877853.8630402,360448,112.55158996582031
1706877860.2720406,362496,114.68434143066406
1706877867.3020399,364544,79.953125
1706877874.4745626,366592,195.4222412109375
1706877880.7980902,368640,116.42137908935547
