Wall time,Step,Value
1706876733.5666397,170,-23.991424560546875
1706876735.828637,250,-27.997699737548828
1706876738.5236382,343,-31.52688980102539
1706876741.2946362,442,-35.18503952026367
1706876744.067637,541,-39.58173751831055
1706876746.3736386,625,-44.332889556884766
1706876748.2886372,695,-45.89668655395508
1706876750.2626374,764,-49.977928161621094
1706876752.6706378,840,-54.33595657348633
1706876755.4996376,916,-56.04426574707031
1706876757.951637,994,-61.00728225708008
1706876759.9106371,1059,-62.834598541259766
1706876761.9876366,1129,-61.997840881347656
1706876763.9726384,1194,-67.4677734375
1706876765.8427973,1258,-67.68706512451172
1706876767.8017972,1324,-71.29710388183594
1706876769.6287963,1389,-72.04608917236328
1706876771.7307975,1454,-75.45258331298828
1706876773.8097997,1519,-73.50911712646484
1706876776.0857973,1586,-79.361572265625
1706876778.345799,1651,-79.03863525390625
1706876781.208797,1730,-84.05654907226562
1706876784.3257973,1812,-81.70979309082031
1706876787.5047982,1900,-81.45018768310547
1706876791.0647984,1999,-90.46123504638672
1706876795.7675085,2113,-87.48347473144531
1706876801.2357554,2240,-95.22001647949219
1706876808.853755,2412,-94.5518798828125
1706876816.8318079,2579,-99.08140563964844
1706876826.194842,2783,-99.748046875
1706876835.592841,3005,-105.77542114257812
1706876845.1558414,3228,-105.87110137939453
1706876855.6578443,3469,-116.55856323242188
1706876864.1648414,3705,-110.91154479980469
1706876875.4338412,3986,-123.74198913574219
1706876883.9828422,4204,-124.80290985107422
1706876894.156843,4465,-133.5480499267578
1706876903.8388412,4714,-133.04678344726562
1706876914.283842,4998,-133.0736541748047
1706876923.5448434,5244,-146.105224609375
1706876933.7868412,5519,-139.0712127685547
1706876943.4838412,5797,-143.9113006591797
1706876953.3488407,6070,-143.84532165527344
1706876963.9523592,6362,-145.43911743164062
1706876976.4323592,6711,-148.43695068359375
1706876985.7287304,6968,-148.46170043945312
1706876997.3033237,7265,-153.8949432373047
1706877010.2503204,7624,-146.76918029785156
1706877020.690321,7908,-150.7978057861328
1706877031.4008415,8209,-152.27049255371094
1706877043.2598417,8519,-152.90420532226562
1706877053.5496309,8795,-155.14137268066406
1706877065.2676303,9083,-155.28216552734375
1706877077.6256304,9394,-154.1899871826172
1706877089.655727,9676,-162.61279296875
1706877102.936726,9991,-160.81784057617188
1706877117.3758018,10331,-156.108154296875
1706877131.3087301,10664,-164.8564453125
1706877143.4697225,10953,-159.201904296875
1706877154.223722,11196,-164.21942138671875
1706877166.5058215,11498,-152.42054748535156
1706877178.5008218,11822,-155.957275390625
1706877186.6778216,12043,-158.8487548828125
1706877195.634822,12286,-156.10955810546875
1706877203.7988234,12507,-164.7503204345703
1706877215.3328702,12766,-163.15765380859375
1706877224.4899156,12986,-158.13063049316406
1706877236.1179159,13310,-160.49319458007812
1706877244.6139154,13544,-148.28143310546875
1706877253.6009147,13804,-153.489013671875
1706877265.2759156,14132,-157.8810577392578
1706877276.794915,14455,-150.16619873046875
1706877286.819915,14731,-153.6378631591797
1706877298.5309145,15060,-156.85952758789062
1706877308.0629156,15333,-157.0038299560547
1706877318.1289163,15618,-153.09616088867188
1706877328.3799174,15877,-150.419189453125
1706877341.5569174,16182,-153.96412658691406
1706877351.5039158,16379,-154.26136779785156
1706877362.244917,16622,-154.39349365234375
1706877373.4199152,16908,-142.60769653320312
1706877384.4859273,17186,-146.27975463867188
1706877396.7209158,17491,-139.34230041503906
1706877411.8609154,17856,-147.3384246826172
1706877423.9489152,18164,-139.8782958984375
1706877434.8769155,18440,-147.79833984375
1706877446.015736,18722,-143.06369018554688
1706877457.5402563,19027,-143.37588500976562
1706877469.1612554,19353,-135.87939453125
1706877481.2342556,19682,-146.7284698486328
1706877493.3162553,20018,-142.41314697265625
1706877502.1362555,20266,-137.47592163085938
1706877511.9652557,20541,-135.7493896484375
1706877522.851256,20848,-141.04434204101562
1706877535.3582556,21200,-149.27517700195312
1706877550.1117713,21562,-141.7904815673828
1706877560.798773,21827,-138.175537109375
1706877573.6097703,22143,-141.0303955078125
1706877589.1152897,22528,-137.7967987060547
1706877606.3060408,22849,-145.6136016845703
1706877618.8580406,23162,-145.32049560546875
1706877637.0060437,23577,-137.0530242919922
1706877649.360041,23875,-139.84730529785156
1706877663.2780406,24201,-139.47653198242188
1706877675.2110417,24483,-145.58245849609375
1706877688.9050407,24826,-143.3042449951172
1706877702.3520322,25154,-140.98387145996094
1706877714.3015594,25444,-150.94473266601562
1706877726.8570783,25756,-134.1238555908203
1706877738.9280772,26053,-135.70550537109375
1706877752.1691685,26376,-145.29754638671875
1706877763.259263,26652,-138.86669921875
1706877775.0510452,26938,-140.802734375
1706877785.778846,27204,-143.79759216308594
1706877797.5718815,27503,-139.71530151367188
1706877811.0228815,27817,-133.8773193359375
1706877823.6558816,28126,-138.73623657226562
1706877835.6840389,28422,-140.09432983398438
1706877849.2230382,28757,-142.7741241455078
1706877861.2160378,29065,-141.5046844482422
1706877881.4830894,29535,-136.19747924804688
1706877898.5780895,29952,-138.61968994140625
1706877911.713158,30284,-137.25897216796875
1706877925.4701583,30625,-143.36875915527344
1706877938.3852527,30918,-143.32669067382812
1706877950.859343,31225,-147.62692260742188
1706877963.3607593,31540,-143.0025634765625
1706877977.210168,31883,-135.86985778808594
1706877990.996677,32224,-139.94601440429688
1706877999.8811953,32442,-127.39295196533203
1706878011.7051957,32707,-135.73245239257812
1706878024.0062373,33014,-140.6421356201172
1706878037.0123699,33337,-139.657470703125
1706878049.8593805,33649,-150.19509887695312
1706878063.2088892,33985,-135.50416564941406
1706878076.8494103,34313,-139.83743286132812
1706878090.3950799,34646,-132.0040740966797
1706878105.5710785,35030,-134.88816833496094
1706878116.0960782,35295,-142.82809448242188
1706878125.6360786,35526,-137.71243286132812
1706878141.2620788,35878,-128.91323852539062
1706878154.3170786,36208,-141.33851623535156
1706878165.769078,36497,-132.27354431152344
1706878179.5870798,36842,-134.72994995117188
1706878190.4860785,37118,-128.9459991455078
1706878206.4450786,37496,-130.65765380859375
1706878219.4410837,37818,-138.80218505859375
1706878229.9656126,38078,-141.46910095214844
1706878241.1906137,38358,-138.9443817138672
1706878252.3941407,38627,-126.23553466796875
1706878263.4491315,38901,-137.78390502929688
1706878274.0801318,39154,-136.03733825683594
1706878284.1221318,39404,-140.47647094726562
1706878295.672132,39681,-140.93490600585938
1706878306.1241314,39946,-137.32278442382812
1706878320.5131369,40304,-139.95506286621094
1706878330.5861309,40552,-135.37123107910156
1706878342.6331332,40823,-142.1632537841797
1706878355.9391336,41138,-133.56866455078125
1706878367.883136,41408,-138.24827575683594
1706878377.1801322,41673,-128.03382873535156
1706878388.8621314,42005,-138.05633544921875
1706878400.3201313,42322,-137.97869873046875
1706878410.924131,42614,-132.25921630859375
1706878423.5161319,42970,-141.86196899414062
1706878436.0821316,43327,-135.32003784179688
1706878454.0311308,43839,-124.05177307128906
1706878466.922131,44192,-140.38795471191406
1706878482.5501778,44633,-143.2154083251953
1706878495.4831774,45002,-135.38409423828125
1706878505.5431774,45283,-132.9898681640625
1706878515.197178,45556,-149.55795288085938
1706878529.5056942,45957,-138.16151428222656
1706878544.7046947,46364,-141.91802978515625
1706878557.9666939,46740,-138.2752227783203
1706878571.700694,47132,-144.51828002929688
1706878583.4296947,47469,-143.91563415527344
1706878596.3236942,47833,-143.3383331298828
1706878607.1896937,48138,-147.2278594970703
1706878620.2365277,48481,-137.25538635253906
1706878638.4721296,48869,-135.488037109375
1706878658.6788754,49288,-130.92230224609375
1706878671.4068754,49579,-136.60211181640625
1706878682.991876,49909,-140.0447998046875
1706878694.3228743,50225,-141.3128662109375
1706878707.3648756,50595,-140.59616088867188
1706878721.7588756,51004,-140.1596221923828
1706878732.9478643,51311,-143.72743225097656
1706878743.9663775,51628,-150.99307250976562
1706878756.5433779,51987,-145.00697326660156
1706878767.7003784,52303,-147.77255249023438
1706878782.546378,52726,-144.60293579101562
1706878796.1003778,53100,-143.32504272460938
1706878806.2623775,53386,-144.83453369140625
1706878818.1888957,53726,-140.39837646484375
1706878831.3698955,54105,-146.60467529296875
